straightforwardness 1         19
combatant           2         9
collected           4         9
colleague           5         9
cognizant           1         9
cleveland           1         9
clearness           2         9
classical           3         9
childlike           1         9
chieftain           1         9
chastised           1         9
charities           1         9
character           3         9
challenge           2         9
cessation           1         9
certainty           2         9
certainly           15        9
centuries           2         9
celebrity           1         9
catalogue           2         9
cartloads           1         9
carefully           9         9
capturing           1         9
captivity           3         9
canonized           1         9
campaigns           2         9
calculate           1         9
brushwood           2         9
broadside           1         9
brilliant           5         9
breathing           1         9
breakfast           1         9
bracketed           1         9
borrowing           1         9
bodyguard           1         9
bloodshed           2         9
blessings           1         9
biography           8         9
besieging           3         9
besiegers           1         9
besetting           1         9
benefited           1         9
belonging           1         9
beheading           1         9
beginning           11        9
beautiful           1         9
barbarian           2         9
avalanche           1         9
available           8         9
authority           15        9
authentic           1         9
audacious           2         9
attribute           1         9
attracted           1         9
attention           7         9
attempted           1         9
attacking           13        9
attackers           1         9
attaching           2         9
assistant           1         9
assertion           2         9
assassins           1         9
assailing           1         9
aspersion           1         9
ascertain           3         9
artifices           2         9
armistice           1         9
appointed           4         9
appearing           2         9
antiquity           3         9
answering           1         9
anecdotes           3         9
ancestral           1         9
analogous           3         9
analogies           1         9
amplifies           1         9
amounting           1         9
ambuscade           4         9
alternate           1         9
allowance           1         9
alliances           4         9
agreement           18        9
agreeable           1         9
aggrieved           1         9
afflicted           1         9
affection           2         9
affecting           1         9
advisable           1         9
adverting           1         9
adversary           17        9
adventure           1         9
advantage           45        9
advancing           6         9
admitting           1         9
admirable           1         9
adjoining           1         9
adjective           1         9
addresses           2         9
addressed           3         9
additions           3         9
acuteness           1         9
acquiesce           1         9
acquaints           1         9
according           19        9
accompany           1         9
acclaimed           1         9
accession           3         9
accepting           1         9
abandoned           2         9
Valentine           1         9
VARIATION           1         9
Turkestan           1         9
Trafalgar           1         9
Thereupon           3         9
Therefore           8         9
TRADEMARK           1         9
Supposing           1         9
Stonewall           4         9
Sometimes           1         9
Simulated           1         9
SURVIVING           1         9
STRATAGEM           1         9
Reviewing           1         9
Regarding           1         9
RESTRAINT           1         9
Published           1         9
Profiting           1         9
Professor           1         9
Popularly           1         9
PARAGRAPH           1         9
Otherwise           1         9
Omissions           1         9
Officials           1         9
Numerical           1         9
Meanwhile           2         9
Mansfield           1         9
Maneuvers           1         9
Literally           16        9
Ladysmith           2         9
LIABILITY           1         9
Knowledge           2         9
Kimberley           1         9
Judgments           1         9
Isolating           1         9
Introduce           1         9
Intendant           2         9
Instances           1         9
Impartial           1         9
INDEMNITY           1         9
INCLUDING           1         9
Herodotus           1         9
Henderson           8         9
Hannibals           1         9
Gutenberg           84        9
Gentlemen           2         9
GUTENBERG           4         9
Frederick           1         9
Forthwith           1         9
Forestall           1         9
Footnotes           1         9
Fairbanks           1         9
Executive           1         9
Europeans           1         9
Dynasties           1         9
Donations           2         9
DONATIONS           1         9
DEVIATION           1         9
Cunctator           1         9
Corrected           1         9
Copyright           1         9
Convinced           1         9
Confucius           13        9
Completer           1         9
Competent           1         9
Commander           2         9
Christian           1         9
Character           1         9
Catalogue           3         9
Casilinum           2         9
Carefully           2         9
CONVERTED           1         9
COMMANDER           1         9
Bonaparte           4         9
Balancing           3         9
Attacking           1         9
Athenians           1         9
Assistant           1         9
Apologies           1         9
Advancing           1         9
According           5         9
Accession           1         9
AGREEMENT           1         9
yourself            9         8
yielding            1         8
writings            2         8
withdrew            2         8
windward            3         8
wielding            1         8
whenever            2         8
wheeling            1         8
whatever            2         8
welcomed            1         8
weighing            2         8
weakness            8         8
wavering            3         8
watchmen            1         8
watching            1         8
warriors            3         8
visitors            1         8
violence            2         8
violates            1         8
violated            1         8
vigorous            1         8
vigilant            1         8
victuals            1         8
vexation            1         8
veterans            1         8
versions            2         8
verified            1         8
ventured            2         8
vehicles            1         8
variance            2         8
vanquish            1         8
vanguard            1         8
valuable            2         8
utilizes            1         8
usefully            1         8
uplifted            1         8
unworthy            1         8
unwonted            1         8
unversed            3         8
unsuited            1         8
unshaken            1         8
unsettle            1         8
unlooked            1         8
unlikely            1         8
unjustly            1         8
universe            1         8
unending            1         8
uncommon            1         8
unbroken            1         8
ultimate            1         8
ulterior            1         8
troubles            1         8
trophies            2         8
triumphs            1         8
trifling            1         8
treatise            11        8
treating            1         8
treasure            4         8
traverse            2         8
traveler            1         8
traitors            5         8
training            3         8
townsman            1         8
touching            1         8
totaling            1         8
tortuous            1         8
torrents            1         8
tomorrow            1         8
together            26        8
timidity            4         8
throwing            3         8
thousand            15        8
thoughts            2         8
thorough            2         8
thinking            4         8
thickets            1         8
textbook            1         8
terrific            2         8
terrible            4         8
tenacity            1         8
tempered            1         8
teaching            2         8
tampered            1         8
tactical            7         8
tabulate            1         8
swooping            1         8
sweeping            1         8
swarming            1         8
survived            4         8
surround            2         8
surprise            6         8
supposed            2         8
supplies            10        8
supplied            3         8
superior            10        8
summoned            3         8
suggests            1         8
suffered            1         8
suddenly            12        8
subtlety            1         8
subtlest            1         8
subsides            1         8
subjects            1         8
studying            2         8
stubborn            1         8
struggle            6         8
strongly            4         8
stronger            4         8
striving            2         8
stripped            2         8
striking            4         8
strictly            5         8
stricken            3         8
strength            46        8
strategy            7         8
straight            4         8
straggle            1         8
stopping            1         8
steadily            1         8
starting            3         8
standing            4         8
standard            8         8
spurious            1         8
spiteful            1         8
specious            2         8
specimen            1         8
specific            1         8
speaking            6         8
sounding            1         8
somewhat            10        8
solution            1         8
solemnly            1         8
soldiery            1         8
soldiers            74        8
sluggish            1         8
slovenly            1         8
slightly            4         8
sleeping            1         8
skillful            10        8
situated            3         8
singular            1         8
simplest            1         8
signally            1         8
sighting            2         8
shrewdly            1         8
shouting            2         8
shortest            1         8
shifting            2         8
shepherd            1         8
shelters            2         8
shedding            1         8
severity            2         8
severely            1         8
services            5         8
servants            1         8
sequence            2         8
separate            8         8
sentries            1         8
sentence            19        8
sensibly            1         8
selected            1         8
sedition            1         8
security            2         8
securing            2         8
sections            5         8
secretly            8         8
secreted            1         8
secondly            1         8
seconded            1         8
seasoned            1         8
searched            1         8
scruples            1         8
scornful            1         8
scholars            8         8
scarcity            1         8
scarcely            1         8
sandbags            1         8
sagacity            1         8
ruffians            1         8
romantic            1         8
rightful            1         8
rewarded            6         8
revolted            2         8
reversal            2         8
revenged            1         8
returned            3         8
retreats            2         8
retained            2         8
resulted            2         8
restless            1         8
resource            3         8
resorted            1         8
resolved            1         8
reserves            1         8
research            2         8
rescuing            1         8
requires            3         8
required            5         8
reported            2         8
replying            1         8
replaced            2         8
repeated            5         8
rendered            2         8
reminded            3         8
remember            2         8
remarked            2         8
remained            4         8
reliance            2         8
reliable            1         8
releases            1         8
released            3         8
relative            2         8
relation            2         8
relating            2         8
rejected            1         8
regiment            2         8
regarded            1         8
regained            1         8
refusing            1         8
referred            3         8
recruits            1         8
recovery            1         8
recourse            1         8
recorded            4         8
reckoned            1         8
reckless            2         8
recesses            2         8
recently            1         8
receives            3         8
received            10        8
rearward            1         8
readings            2         8
readable            2         8
reaching            2         8
ratified            1         8
rapidity            10        8
ramparts            2         8
rallying            1         8
rainfall            1         8
question            14        8
quenched            1         8
quelling            1         8
quarters            3         8
quantity            4         8
pursuits            1         8
pursuing            1         8
pursuers            2         8
purposes            4         8
punitive            2         8
punished            3         8
punctual            1         8
provoked            2         8
province            2         8
provided            9         8
protests            1         8
property            2         8
properly            7         8
promptly            1         8
promises            2         8
projects            1         8
progress            1         8
profound            2         8
produced            5         8
proclaim            1         8
proceeds            2         8
probably            8         8
probable            3         8
pristine            2         8
prisoner            1         8
previous            7         8
prevents            2         8
prestige            2         8
preserve            1         8
presents            3         8
presence            3         8
prepares            1         8
prepared            6         8
pregnant            1         8
precious            2         8
precepts            1         8
preceded            1         8
practice            10        8
powerful            7         8
pounding            1         8
pouncing            1         8
postpone            1         8
possibly            4         8
possible            26        8
positive            1         8
position            45        8
portions            1         8
poisoned            2         8
pluckier            1         8
planning            2         8
pitfalls            3         8
pitching            1         8
piquancy            1         8
pictured            1         8
physical            3         8
pervaded            1         8
personal            7         8
perished            2         8
periodic            1         8
perilous            2         8
perceive            1         8
peculiar            1         8
peaceful            2         8
payments            3         8
pavilion            1         8
patience            1         8
passport            1         8
passages            9         8
parallel            1         8
palliate            1         8
pacified            1         8
overcome            2         8
overawes            1         8
overawed            2         8
outdated            1         8
outbreak            3         8
original            8         8
ordinary            10        8
opposite            2         8
opposing            3         8
opponent            14        8
opinions            1         8
openings            1         8
omission            3         8
official            5         8
officers            40        8
offering            1         8
offenses            1         8
offender            1         8
occurred            2         8
occupies            1         8
occupied            4         8
occasion            8         8
obtained            7         8
obstruct            1         8
obsolete            2         8
observes            6         8
observed            3         8
obscured            1         8
nutshell            2         8
numerous            10        8
numbered            1         8
notifies            1         8
noticing            1         8
normally            1         8
nickname            1         8
neighbor            1         8
neglects            1         8
negative            3         8
negation            1         8
needless            1         8
national            1         8
mutually            1         8
mustered            1         8
musician            1         8
movement            4         8
mourning            1         8
mournful            1         8
mountain            7         8
mosquito            1         8
moreover            4         8
momentum            1         8
moisture            1         8
modified            2         8
mistakes            6         8
mistaken            1         8
misjudge            1         8
misdeeds            1         8
minister            3         8
military            71        8
midnight            1         8
metaphor            3         8
mentions            12        8
menacing            1         8
melodies            1         8
measures            11        8
measured            2         8
meantime            1         8
meanings            2         8
material            6         8
masterly            2         8
marching            9         8
mantlets            2         8
manifest            2         8
maneuver            5         8
managing            1         8
majestic            1         8
maintain            4         8
maddened            1         8
lucidity            1         8
locating            1         8
locality            1         8
littered            1         8
literati            1         8
literary            4         8
listened            1         8
likewise            1         8
lighting            2         8
licensed            1         8
learning            1         8
laughter            2         8
laughing            2         8
language            5         8
kneeling            1         8
kingdoms            4         8
keenness            1         8
juncture            1         8
junction            2         8
judgment            3         8
isolated            5         8
irritate            1         8
involves            1         8
involved            2         8
invested            1         8
invented            1         8
invasion            1         8
invading            7         8
invaders            2         8
intrigue            1         8
intimate            2         8
internal            2         8
interest            3         8
intended            6         8
intaking            1         8
instruct            1         8
instinct            1         8
instance            10        8
inspired            2         8
insisted            1         8
inserted            1         8
insecure            1         8
inquires            1         8
inherent            1         8
informed            4         8
inflated            1         8
infinite            4         8
inferior            8         8
infantry            2         8
inducing            1         8
indirect            12        8
indicate            5         8
increase            1         8
includes            3         8
included            8         8
inclines            1         8
inclined            6         8
incisive            1         8
incident            3         8
inasmuch            1         8
inactive            1         8
impotent            2         8
imposing            1         8
impolicy            1         8
implying            1         8
implored            1         8
imperial            1         8
impelled            1         8
imparted            1         8
ignorant            4         8
ignominy            1         8
identify            4         8
hundreds            1         8
humanity            6         8
hostages            3         8
horsemen            4         8
honestly            1         8
hobbling            1         8
hoarding            1         8
hitherto            2         8
historic            1         8
hireling            1         8
hindmost            1         8
hillocks            1         8
highways            7         8
hesitate            1         8
heritage            1         8
helpless            1         8
hearkens            2         8
headlong            1         8
headings            1         8
harmless            1         8
hardship            1         8
hardness            1         8
happened            7         8
handling            3         8
hampered            1         8
halberds            1         8
guarding            1         8
grievous            1         8
greatest            13        8
grasping            1         8
grandson            2         8
graduate            1         8
governor            4         8
governed            2         8
glorious            1         8
gladness            1         8
geniuses            1         8
generals            15        8
gathered            1         8
garrison            1         8
garments            2         8
galloped            1         8
furthest            1         8
function            2         8
frontier            6         8
friendly            2         8
frequent            5         8
fragment            1         8
fraction            1         8
fourthly            1         8
fourteen            1         8
fortunes            3         8
formulas            1         8
formerly            1         8
foreseen            1         8
foremost            1         8
forecast            1         8
foraging            1         8
fomented            1         8
followed            13        8
flurried            1         8
flogging            2         8
flinging            1         8
firmness            1         8
firewood            2         8
filtered            1         8
filename            5         8
fighting            35        8
fighters            1         8
fidelity            1         8
fettered            1         8
ferocity            1         8
feigning            1         8
feelings            1         8
features            4         8
favorite            4         8
fathered            1         8
fastened            3         8
farewell            1         8
famished            2         8
families            3         8
familiar            4         8
faithful            1         8
facility            2         8
fabulous            1         8
extracts            1         8
extorted            1         8
external            4         8
exterior            1         8
extended            2         8
expounds            2         8
exploits            2         8
explicit            3         8
explains            11        8
expenses            3         8
expended            2         8
expected            3         8
expanded            1         8
exordium            1         8
existent            1         8
exercise            1         8
exegesis            1         8
executed            3         8
excludes            1         8
excelled            1         8
examples            2         8
examined            1         8
evidence            5         8
estimate            8         8
eschewed            1         8
escaping            1         8
equipped            1         8
entitled            3         8
entirety            1         8
entirely            3         8
enticing            2         8
entering            2         8
ensuring            2         8
enormous            3         8
enjoying            1         8
engaging            2         8
enforced            3         8
energies            1         8
endorsed            1         8
endeared            1         8
encoding            1         8
enclosed            1         8
encamped            6         8
employer            1         8
employee            1         8
employed            14        8
emphatic            1         8
eminence            1         8
emerging            1         8
embraced            1         8
embarked            1         8
elicited            1         8
elevated            1         8
elements            4         8
effected            3         8
educated            1         8
editions            9         8
eastward            1         8
easterly            1         8
earliest            4         8
dynastic            1         8
drumming            1         8
dropping            1         8
drinking            2         8
drilling            3         8
drifting            1         8
drawback            1         8
dramatic            1         8
download            2         8
downhill            1         8
doubtful            4         8
donation            1         8
domestic            1         8
document            1         8
divulged            3         8
division            5         8
divining            1         8
divinely            1         8
dividing            4         8
district            3         8
distress            3         8
distinct            6         8
distaste            1         8
distance            17        8
disputes            1         8
disprove            1         8
disposal            1         8
disperse            2         8
dispense            1         8
disorder            15        8
dislodge            2         8
dislikes            1         8
dishonor            1         8
disguise            1         8
disgrace            1         8
discover            4         8
disclaim            1         8
disciple            1         8
disaster            4         8
directly            4         8
directed            3         8
dilatory            1         8
dictator            1         8
dictated            1         8
dialogue            1         8
diagrams            2         8
devoured            1         8
detected            1         8
detached            1         8
destined            2         8
despises            1         8
designed            2         8
deserves            3         8
deserved            1         8
deserted            1         8
departed            2         8
denuding            1         8
demanded            1         8
deluding            1         8
delights            1         8
delicacy            1         8
degraded            1         8
definite            1         8
defining            1         8
deferred            1         8
defenses            2         8
defended            1         8
defeated            18        8
declined            1         8
declared            4         8
decisive            5         8
decision            6         8
deciding            1         8
deceived            2         8
deadlock            1         8
daylight            1         8
daybreak            1         8
crushing            5         8
crumbled            1         8
crowning            1         8
crossing            7         8
crossbow            1         8
critical            9         8
credited            1         8
credible            1         8
creation            1         8
creating            3         8
cowardly            1         8
covetous            3         8
coveting            1         8
covering            2         8
covenant            1         8
courting            1         8
courtesy            1         8
counsels            1         8
cottages            1         8
corrects            1         8
cornered            1         8
conveyed            1         8
converse            1         8
converge            1         8
convened            1         8
controls            1         8
contrive            4         8
contrast            1         8
contrary            3         8
contents            1         8
contempt            2         8
contains            9         8
consumed            1         8
constant            12        8
consists            3         8
consider            3         8
connects            1         8
confront            1         8
confound            1         8
confined            3         8
conducts            1         8
condemns            1         8
conclude            3         8
conceive            1         8
computer            2         8
composed            5         8
complete            8         8
compiler            1         8
compiled            1         8
commonly            2         8
commands            10        8
combined            3         8
collects            1         8
collapse            3         8
cohesion            1         8
clothing            1         8
clinches            1         8
climbing            2         8
civilian            1         8
citizens            1         8
choleric            2         8
children            5         8
chariots            15        8
chapters            29        8
channels            1         8
changing            1         8
champion            1         8
celerity            1         8
cautious            2         8
cautions            1         8
catching            1         8
cartload            2         8
carrying            2         8
carriage            1         8
careless            5         8
cardinal            2         8
captures            1         8
captured            6         8
captains            2         8
capacity            5         8
campaign            13        8
calamity            2         8
business            9         8
bursting            1         8
bringing            3         8
brigands            1         8
breaking            4         8
branches            3         8
brambles            2         8
brackets            1         8
borrowed            1         8
blunders            3         8
blocking            1         8
betokens            2         8
bestowed            4         8
bestowal            1         8
besieged            2         8
benefits            1         8
belonged            2         8
believes            1         8
believer            1         8
believed            4         8
beheaded            6         8
behavior            2         8
befallen            1         8
beetling            1         8
bedewing            1         8
becoming            1         8
bearings            1         8
barracks            1         8
balances            1         8
avoiding            1         8
availing            1         8
attitude            2         8
attempts            2         8
attained            4         8
attacked            20        8
attached            7         8
athletic            1         8
assuming            1         8
assigned            4         8
assented            1         8
assaults            1         8
ascribed            2         8
artifice            5         8
articles            1         8
arsenals            2         8
arrogant            1         8
arranged            2         8
argument            2         8
aptitude            1         8
approach            5         8
applying            1         8
appendix            1         8
appeared            3         8
apparent            2         8
aphorism            1         8
anywhere            3         8
anything            9         8
anterior            1         8
answered            2         8
animated            1         8
anecdote            5         8
ancients            3         8
anchored            2         8
ancestor            2         8
analyzes            1         8
amenable            1         8
although            6         8
altering            1         8
alphabet            1         8
allusion            4         8
allowing            2         8
alliance            1         8
alienate            1         8
afforded            2         8
affected            3         8
advocate            1         8
advances            3         8
advanced            1         8
admitted            4         8
adhering            1         8
addition            2         8
actually            11        8
activity            3         8
acquired            3         8
achieved            9         8
accuracy            2         8
accounts            2         8
accessed            1         8
accepted            5         8
abstract            1         8
absolute            3         8
abruptly            1         8
abnormal            1         8
abeyance            1         8
Yangtsze            3         8
Whenever            1         8
Waterloo            3         8
WARRANTY            2         8
Viscount            1         8
VERSIONS            1         8
Uxbridge            2         8
Thousand            1         8
Tactical            2         8
TREATISE            1         8
TACTICAL            1         8
Suddenly            1         8
Students            1         8
Steadily            1         8
Startled            1         8
Standing            2         8
Sophanes            1         8
Somebody            1         8
Soldiers            1         8
Sicilian            1         8
Sheridan            1         8
Security            1         8
Sections            1         8
Scouting            4         8
Replying            1         8
Repeated            1         8
Rapidity            1         8
REMEDIES            1         8
Prohibit            1         8
Probably            1         8
Presence            1         8
Practice            1         8
Powerful            1         8
Position            1         8
Polybius            1         8
PUNITIVE            1         8
PROVIDED            1         8
Oriental            3         8
Opinions            1         8
Officers            1         8
Nowadays            1         8
November            2         8
Northern            2         8
Needless            1         8
Napoleon            8         8
Movement            1         8
Mountain            2         8
Moreover            1         8
Minister            5         8
Military            7         8
Mansions            1         8
Mafeking            1         8
MILITARY            1         8
Longmans            1         8
Literary            13        8
Likewise            3         8
Language            2         8
Kiangnan            1         8
Japanese            2         8
Internal            1         8
Indirect            1         8
Inasmuch            1         8
Imperial            3         8
INDIRECT            1         8
Humanity            1         8
Hoodwink            1         8
Hannibal            6         8
Griffith            1         8
Governor            2         8
Generals            1         8
GUTINDEX            1         8
GENERALS            1         8
Formerly            1         8
Fighting            1         8
Emperors            1         8
EDITIONS            1         8
Director            1         8
Decisive            1         8
Cromwell            1         8
Critical            1         8
Creating            1         8
Confront            1         8
Classics            2         8
Chinaman            2         8
Chapters            1         8
Calthrop            3         8
CONTRACT            1         8
COLLAPSE            1         8
Athenian            1         8
Assuming            1         8
Applying            1         8
Appended            1         8
Although            4         8
ANYTHING            1         8
younger             1         7
yielded             1         7
yelling             1         7
wrongly             1         7
written             19        7
writing             4         7
writers             5         7
wrapped             1         7
wounded             1         7
worship             1         7
without             78        7
wishing             1         7
winning             4         7
willing             1         7
whoever             2         7
whither             1         7
whipped             1         7
whether             7         7
whereby             4         7
whereas             16        7
wheeled             1         7
welfare             1         7
weighty             1         7
weighed             2         7
weather             3         7
weapons             12        7
wealthy             1         7
weakens             1         7
warrior             2         7
warring             1         7
warning             2         7
warlike             6         7
warfare             20        7
warding             1         7
waiting             6         7
wailing             1         7
visited             2         7
visible             1         7
virtues             5         7
violent             2         7
violate             1         7
viewing             1         7
victory             60        7
veteran             1         7
vestige             1         7
vessels             2         7
version             5         7
venture             3         7
vassals             1         7
varying             2         7
various             9         7
variety             3         7
variant             4         7
vantage             1         7
vanilla             1         7
valleys             4         7
valiant             2         7
vaguely             1         7
utterly             5         7
uttered             3         7
utilize             4         7
usually             2         7
useless             6         7
upwards             1         7
upstart             1         7
upright             1         7
uplands             1         7
updated             1         7
unusual             3         7
untaken             1         7
unknown             2         7
uniform             2         7
unhappy             1         7
unequal             1         7
undoing             1         7
unaware             4         7
twelfth             1         7
turrets             2         7
turning             6         7
turmoil             1         7
tumulus             2         7
trusted             2         7
trouble             6         7
triumph             3         7
trigger             2         7
trifled             1         7
treated             13        7
trained             2         7
towards             17        7
torrent             1         7
torches             3         7
topmost             2         7
toiling             1         7
tidings             1         7
thunder             3         7
thrusts             1         7
through             34        7
threads             1         7
thought             6         7
thither             1         7
thirdly             1         7
thinned             1         7
thickly             1         7
thereof             1         7
therein             1         7
thereby             4         7
theoric             1         7
texture             1         7
tersely             1         7
terrain             3         7
tenfold             1         7
tenants             1         7
tempted             4         7
teaches             1         7
teacher             1         7
tangled             1         7
tallies             1         7
talents             1         7
tactics             24        7
tackled             1         7
tablets             1         7
swollen             1         7
swiftly             2         7
swallow             1         7
sutlers             1         7
sustain             1         7
suspect             1         7
survive             4         7
surplus             1         7
surname             1         7
surface             1         7
supreme             6         7
suppose             9         7
support             8         7
summing             1         7
summary             4         7
suicide             1         7
suggest             2         7
suffice             1         7
sucking             1         7
succumb             1         7
success             15        7
succeed             12        7
submits             1         7
subject             18        7
subdues             1         7
subdued             1         7
studies             3         7
studied             7         7
student             1         7
stripes             1         7
strings             1         7
strikes             1         7
stretch             2         7
streams             1         7
strange             4         7
straits             5         7
stormed             1         7
stopped             4         7
station             1         7
started             3         7
stamina             1         7
springs             2         7
spirits             4         7
special             4         7
sources             3         7
sounded             2         7
someone             1         7
solicit             2         7
soldier             22        7
smaller             2         7
slurred             1         7
sluices             1         7
slaying             1         7
skinned             1         7
skilled             5         7
sitting             2         7
sinking             1         7
singled             1         7
similar             12        7
silence             1         7
signify             3         7
signals             2         7
showing             5         7
shortly             1         7
shifted             1         7
shields             2         7
shatter             1         7
sharply             1         7
sharing             2         7
shaking             1         7
several             15        7
seventy             2         7
settled             2         7
setting             1         7
serving             1         7
service             13        7
serious             14        7
sending             2         7
seizure             1         7
seizing             5         7
seeming             2         7
seeking             2         7
secured             1         7
section             3         7
secrecy             5         7
seconds             1         7
seasons             5         7
screens             3         7
science             6         7
scholar             3         7
schemes             3         7
scatter             1         7
scaling             1         7
sayings             6         7
satisfy             1         7
sapping             1         7
sallies             1         7
sallied             3         7
salient             1         7
running             4         7
ruinous             1         7
royalty             1         7
routine             1         7
roughly             1         7
rougher             1         7
romance             2         7
rolling             3         7
rightly             2         7
riddled             1         7
rewards             9         7
revived             1         7
revised             2         7
reverse             3         7
revenue             1         7
returns             2         7
retreat             26        7
retired             1         7
retains             1         7
resumed             1         7
results             4         7
respond             1         7
respite             1         7
respect             7         7
resound             1         7
resolve             1         7
reserve             1         7
require             3         7
request             1         7
reports             5         7
replies             2         7
replied             20        7
replete             1         7
replace             2         7
renders             1         7
renamed             2         7
removed             2         7
reminds             3         7
remarks             18        7
